,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
0,AAZQ11,Títulos e Val Mob,7.4,20.34,17.48,0.85,177876000,1255170,0,0.0,0.0,0.0,0.0
1,ABCP11,Shoppings,67.39,10.19,9.27,0.66,317345000,57464,1,4435.19,567.65,12.8,2.44
2,AEFI11,Outros,174.9,8.78,0.0,1.2,411893000,0,7,4312.36,390.35,9.05,0.0
3,AFCR11,,103.15,7.43,0.0,1.03,394422000,0,0,0.0,0.0,0.0,0.0
4,AFHI11,Títulos e Val Mob,97.56,9.72,11.47,1.02,389943000,1488130,0,0.0,0.0,0.0,0.0
5,AFOF11,Títulos e Val Mob,91.6,0.63,0.0,10.91,1390540000,0,0,0.0,0.0,0.0,0.0
6,AGCX11,Outros,1235.5,0.75,0.0,11.41,15425600000,0,50,198010.0,1975.52,1.0,0.43
7,AGRX11,Híbrido,9.53,14.1,16.86,0.95,170617000,300192,0,0.0,0.0,0.0,0.0
8,AIEC11,Lajes Corporativas,53.56,18.88,17.55,0.63,258426000,340353,2,10785.7,2098.55,19.46,0.0
9,AJFI11,Títulos e Val Mob,8.24,4.53,6.61,0.66,260598000,846599,0,0.0,0.0,3.65,0.0
10,ALMI11,Lajes Corporativas,630.0,4.9,0.99,0.29,70041500,24387,1,3900010.0,547722.35,14.04,54.5
11,ALZC11,Títulos e Val Mob,97.0,14.54,3.6,0.96,37772700,41561,0,0.0,0.0,0.0,0.0
12,ALZM11,Títulos e Val Mob,7.94,7.29,12.22,0.95,120533000,213655,0,0.0,0.0,0.0,0.0
13,ALZR11,Híbrido,108.49,7.62,8.33,1.02,1166220000,2255120,14,5300.86,410.01,7.73,0.0
14,ANCR11,Shoppings,78.15,384.04,1.23,0.02,52233600,45,5,213.88,1304.06,609.73,4.42
15,APTO11,Híbrido,9.64,10.7,10.83,0.95,44461900,23234,4,17812.7,1193.43,6.7,0.0
16,APXM11,Híbrido,99.99,7.09,5.75,1.04,175982000,111940,1,1735.14,119.17,6.87,10.49
17,ARCT11,Híbrido,87.13,13.47,0.0,0.86,323093000,0,12,1225.85,124.53,10.16,3.74
18,AROA11,Outros,1.02,5.56,4.05,1.03,173435000,5118,6,3769.26,244.92,6.5,0.0
19,ARRI11,Títulos e Val Mob,9.05,7.9,12.34,1.03,138776000,468947,0,0.0,0.0,0.0,0.0
20,ARXD11,Títulos e Val Mob,99.0,7.86,11.72,1.0,64834600,37570,0,0.0,0.0,0.0,0.0
21,ASMT11,Híbrido,37.02,7.12,0.0,0.41,40028100,11952,3,3448.91,751.73,21.8,0.0
22,ASRF11,Híbrido,10840.8,-0.19,0.0,1.11,31893600,103852,2,4295.15,0.0,0.0,0.0
23,ATSA11,Shoppings,55.79,-0.07,1.27,0.73,97696200,186,1,2868.74,13.19,0.46,17.12
24,AURB11,Logística,85.62,3.06,0.0,1.07,76640000,57,2,2247.02,129.15,5.75,50.82
25,BARI11,Títulos e Val Mob,82.15,9.93,10.11,0.89,380699000,772883,1,0.0,0.0,0.0,0.0
26,BBFI11,Lajes Corporativas,688.19,63.75,36.01,0.31,89464700,434324,3,891.88,705.29,79.08,46.5
